,trace_id,ano_id,ref_start,ref_end,ano_start,ano_end,ano_type
0,1_1,0,4247,6193,6193,7166,bursty_input
1,1_1,1,11425,13393,13393,14377,bursty_input
2,1_1,2,18659,20593,20593,21560,bursty_input
3,1_1,3,25849,27793,27793,28765,bursty_input
4,1_1,4,33049,34993,34993,35965,bursty_input
5,1_1,5,40257,42193,42193,43161,bursty_input
6,1_2,0,5055,6989,6989,7956,bursty_input
7,1_2,1,13025,14989,14989,15971,bursty_input
8,1_2,2,21043,22989,22989,23962,bursty_input
9,1_2,3,29033,30989,30989,31967,bursty_input
10,1_2,4,37045,38989,38989,39961,bursty_input
11,2_1,0,6954,8908,8908,9885,stalled_input
12,2_1,1,16856,18808,18808,19784,stalled_input
13,2_1,2,26756,28708,28708,29684,stalled_input
14,2_1,3,36659,38609,38609,39584,stalled_input
15,2_2,0,8771,10699,10699,11663,stalled_input
16,2_2,1,20451,22399,22399,23373,stalled_input
17,2_2,2,32154,34100,34100,35073,stalled_input
18,2_2,3,44024,45800,45800,46688,stalled_input
19,3_1,0,3035,3965,3965,4430,cpu_contention
20,3_1,1,5205,7125,7125,8085,cpu_contention
21,3_1,2,11442,12548,12548,13101,cpu_contention
22,3_1,3,17332,19980,19980,21304,cpu_contention
23,3_1,4,31947,35035,35035,36579,cpu_contention
24,3_2,0,3050,4016,4016,4499,cpu_contention
25,3_2,1,5288,7176,7176,8120,cpu_contention
26,3_2,2,17455,20031,20031,21319,cpu_contention
27,3_2,3,26522,28060,28060,28829,cpu_contention
28,3_2,4,31802,35086,35086,36728,cpu_contention
