trace_id,ano_id,conciseness_exstream,conciseness_exstream_cluster,conciseness_dt,exp_instability
1_1,0,6,3,1,0.7219280948873623
1_1,1,5,3,1,1.584962500721156
1_1,2,6,3,1,1.9086126988727123
1_1,3,5,3,1,-0.0
1_1,4,6,3,1,1.1488348542809166
1_1,5,6,3,1,1.4355205042826666
1_2,0,6,2,1,-0.0
1_2,1,6,3,1,-0.0
1_2,2,6,2,1,-0.0
1_2,3,6,2,1,-0.0
1_2,4,6,3,1,-0.0
2_1,0,5,1,1,-0.0
2_1,1,4,1,1,-0.0
2_1,2,4,1,1,-0.0
2_1,3,4,1,1,-0.0
2_2,0,5,2,1,-0.0
2_2,1,4,1,1,-0.0
2_2,2,5,2,1,-0.0
2_2,3,2,1,1,-0.0
3_1,0,5,4,2,-0.0
3_1,1,5,4,1,-0.0
3_1,2,7,4,1,-0.0
3_1,3,6,4,1,-0.0
3_1,4,6,4,1,-0.0
3_2,0,5,3,1,-0.0
3_2,1,7,3,1,-0.0
3_2,2,5,4,1,-0.0
3_2,3,6,4,2,-0.0
3_2,4,6,4,6,-0.0
