trace_id,ano_id,conciseness_exstream,conciseness_exstream_cluster,conciseness_dt,explanation,exp_instability_exstream,exp_instability_exstream_cluster,exp_instability_dt
1_1,0,6,3,1,"['feature_2', 'feature_6', 'feature_1']",0.954434002924965,0.7219280948873623,1.3485878960124222
1_1,1,5,3,1,"['feature_2', 'feature_1', 'feature_6']",2.604954080971467,1.584962500721156,2.9820822751212654
1_1,2,6,3,1,"['feature_4', 'feature_1', 'feature_6']",2.707169121786202,1.9086126988727123,1.0
1_1,3,5,3,1,"['feature_2', 'feature_1', 'feature_6']",-0.0,-0.0,1.0
1_1,4,6,3,1,"['feature_0', 'feature_1', 'feature_6']",2.1609640474436813,1.1488348542809166,2.9104875070415126
1_1,5,6,3,1,"['feature_4', 'feature_1', 'feature_6']",2.4662478973127313,1.4355205042826666,2.958980843438202
1_2,0,6,2,1,"['feature_2', 'feature_1']",-0.0,-0.0,1.0
1_2,1,6,3,1,"['feature_2', 'feature_1', 'feature_4']",-0.0,-0.0,2.584962500721156
1_2,2,6,2,1,"['feature_0', 'feature_1']",-0.0,-0.0,1.3485878960124222
1_2,3,6,2,1,"['feature_2', 'feature_1']",-0.0,-0.0,1.8231924110430977
1_2,4,6,3,1,"['feature_0', 'feature_1', 'feature_2']",-0.0,-0.0,2.1238738112583992
2_1,0,5,1,1,['feature_7'],-0.0,-0.0,2.946195492004824
2_1,1,4,1,1,['feature_6'],-0.0,-0.0,2.9095745361861023
2_1,2,4,1,1,['feature_7'],-0.0,-0.0,2.872332411490541
2_1,3,4,1,1,['feature_6'],-0.0,-0.0,2.9031056998877167
2_2,0,5,2,1,"['feature_7', 'feature_6']",-0.0,-0.0,2.939114471810182
2_2,1,4,1,1,['feature_3'],-0.0,-0.0,2.909892243669143
2_2,2,5,2,1,"['feature_7', 'feature_6']",-0.0,-0.0,2.9919343825969484
2_2,3,2,1,1,['feature_0'],-0.0,-0.0,2.4217533721231868
3_1,0,5,4,2,"['feature_4', 'feature_2', 'feature_6', 'feature_1']",-0.0,-0.0,3.0
3_1,1,5,4,1,"['feature_7', 'feature_2', 'feature_1', 'feature_6']",-0.0,-0.0,3.0
3_1,2,7,4,1,"['feature_4', 'feature_6', 'feature_2', 'feature_1']",-0.0,-0.0,3.0
3_1,3,6,4,1,"['feature_4', 'feature_6', 'feature_2', 'feature_1']",-0.0,-0.0,3.0
3_1,4,6,4,1,"['feature_4', 'feature_3', 'feature_2', 'feature_1']",-0.0,-0.0,3.0
3_2,0,5,3,1,"['feature_6', 'feature_2', 'feature_1']",-0.0,-0.0,3.0
3_2,1,7,3,1,"['feature_6', 'feature_2', 'feature_1']",-0.0,-0.0,3.0
3_2,2,5,4,1,"['feature_7', 'feature_1', 'feature_6', 'feature_2']",-0.0,-0.0,3.0
3_2,3,6,4,2,"['feature_7', 'feature_6', 'feature_1', 'feature_2']",-0.0,-0.0,3.0
3_2,4,6,4,6,"['feature_4', 'feature_3', 'feature_2', 'feature_1']",-0.0,-0.0,3.0
